MiB Mem :   1827.1 total,   1631.3 free,    138.4 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1636.4 free,    133.3 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1637.8 free,    131.9 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1634.3 free,    135.4 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1630.6 free,    139.1 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1632.1 free,    137.7 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1630.1 free,    139.6 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1630.5 free,    139.2 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1630.1 free,    139.6 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1631.7 free,    138.0 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1633.9 free,    135.8 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1632.2 free,    137.5 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1633.6 free,    136.1 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1630.6 free,    139.1 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1631.3 free,    138.4 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1635.5 free,    134.2 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1638.3 free,    131.4 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1639.1 free,    130.6 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1632.2 free,    137.5 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1632.7 free,    137.0 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1633.2 free,    136.5 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1636.7 free,    133.0 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1638.0 free,    131.7 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1638.8 free,    130.9 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1637.4 free,    132.4 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1634.9 free,    134.8 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1635.8 free,    133.9 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1630.9 free,    138.5 used,     57.7 buff/cache
MiB Mem :   1827.1 total,   1632.9 free,    136.5 used,     57.7 buff/cache
MiB Mem :   1827.1 total,   1633.6 free,    135.8 used,     57.7 buff/cache
MiB Mem :   1827.1 total,   1630.8 free,    137.3 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1631.3 free,    136.9 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1630.7 free,    137.5 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1634.5 free,    133.6 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1631.8 free,    136.4 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1633.4 free,    134.7 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1636.5 free,    131.6 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1637.1 free,    131.0 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1637.7 free,    130.3 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1630.0 free,    138.0 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1630.8 free,    137.3 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1631.8 free,    136.3 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1635.0 free,    133.1 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1636.0 free,    132.0 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1637.8 free,    130.3 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1624.8 free,    143.2 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1635.1 free,    133.0 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1634.4 free,    133.7 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1634.8 free,    133.4 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1635.9 free,    132.3 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1637.8 free,    130.3 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1629.2 free,    138.9 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1632.7 free,    135.4 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1632.8 free,    135.3 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1633.4 free,    134.7 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1633.4 free,    134.7 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1635.1 free,    133.0 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1632.5 free,    135.6 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1632.6 free,    135.5 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1635.4 free,    132.7 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1635.1 free,    133.0 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1636.2 free,    131.9 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1636.8 free,    131.3 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1627.3 free,    140.9 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1627.0 free,    141.2 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1627.9 free,    140.2 used,     58.9 buff/cache
